"序號","英雄","槽位","技能名","模板","原設計","目前模板行為","待補機制","編譯","基本模擬","原機制","畫面"
"01","武藤遊戲","PASSIVE","〔決鬥者的布局〕","tpl-on-attack","召喚物命中與陷阱成功觸發，各累積布局；每次施法最多增加一層，上限三層，供 EX 消耗。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需補召喚／陷阱成功事件去重、三層布局及 EX 扣除。","passed","passive","not-verified","not-run"
"01","武藤遊戲","Q","黑魔導","tpl-summon-agent","召喚一名可受擊的黑魔導；再次下令可更換攻擊目標，同種召喚物最多一名。","召喚 1 名 sela 樣板代理，6 秒、25% 傷害、30% 生命，同類上限 1、主人死亡清除。","黑魔導專屬造型與再次下令換目標未提供；代理採 sela。","passed","accepted","not-verified","not-run"
"01","武藤遊戲","W","黑魔導女孩","tpl-summon-agent","召喚一名可受擊的黑魔導女孩；與黑魔導共同攻擊同一目標時，觸發有內置冷卻的協同追加傷害。","召喚 1 名 sela 樣板代理，6 秒、25% 傷害、30% 生命，同類上限 1、主人死亡清除。","黑魔導女孩造型、與黑魔導協同事件未提供；目前同模板上限須驗證跨槽隔離。","passed","accepted","not-verified","not-run"
"01","武藤遊戲","E","神聖彗星・反射力量","tpl-buff-self","設置一個可辨識的陷阱；範圍內首次敵方普攻觸發時，抵消該次攻擊並反擊來源，隨後消失。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-01-20260907.e.guard"",""onExisting"":""keepLarger""}]。","目標設計是一次觸發陷阱與反射；目前只有自身護盾，不能驗收陷阱。","passed","accepted","not-verified","not-run"
"01","武藤遊戲","R","歐西里斯的天空龍","tpl-ground-nova","以天空龍投影演出有預警的區域雷擊；此招是一次性施法投影，不增加常駐召喚物。","指定落點半徑 300 wc3u 的一次大級範圍傷害。","天空龍投影是待製資產；預覽以雷電區域脈衝表達。","passed","accepted","not-verified","not-run"
"01","武藤遊戲","EX","黑・魔・導","tpl-line-sweep","消耗布局，由存活的黑魔導射出強化直線魔法；缺少黑魔導時顯示使用條件。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需由存活黑魔導發射並消耗布局；目前是英雄本體施法。","passed","accepted","not-verified","not-run"
"02","八神庵","PASSIVE","〔八神之炎〕","tpl-on-attack","不同主動技能連續命中同一敵人，累積最多三層紫炎；下一次終結技消耗層數增傷。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需技能命中三層紫炎與終結技消耗。","passed","passive","not-verified","not-run"
"02","八神庵","Q","百八式・闇拂","tpl-traveling-wave","沿地面前進的紫炎投射物，遇到有效碰撞結算。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","推進波並非遇第一個單位即停的投射物。","passed","accepted","not-verified","not-run"
"02","八神庵","W","百式・鬼燒","tpl-leap-strike","原地上升火焰打擊，提供短暫迎擊窗口與有限擊退。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","固定落點跳擊；需原地迎擊與受擊窗口。","passed","accepted","not-verified","not-run"
"02","八神庵","E","百二十七式・葵花","tpl-lock-combo","三段接續技；每段須在指定窗口再次輸入，逾時、受控或第三段完成後結束。","3 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","目前一次施法完成三段；需三次輸入窗口及中斷狀態機。","passed","accepted","not-verified","not-run"
"02","八神庵","R","禁千二百十一式・八稚女","tpl-lock-combo","突進命中後進入有限連擊，最後一擊引爆紫炎層數。","8 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","缺命中突進接續與紫炎引爆。","passed","accepted","not-verified","not-run"
"02","八神庵","EX","裏三百十六式・豺華","tpl-lock-combo","可獨立使用；在八稚女完成後的短窗口內使用，改為接續追擊並消耗自己的冷卻。","3 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","獨立三段追擊；需接八稚女成功事件的使用窗口。","passed","accepted","not-verified","not-run"
"03","不知火舞","PASSIVE","〔不知火流身法〕","tpl-on-attack","完成位移後獲得一次短效普攻強化；刷新不疊加。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需位移完成後一次普攻增益，刷新不疊加。","passed","passive","not-verified","not-run"
"03","不知火舞","Q","花蝶扇","tpl-traveling-wave","投出扇子，對沿途合法目標造成傷害。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","扇子模型及逐彈碰撞需補，模板是分段傷害波。","passed","accepted","not-verified","not-run"
"03","不知火舞","W","龍炎舞","tpl-line-sweep","向前揮出近身火焰弧，適合迎擊貼身敵人。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","目前為窄直線，需前方近身弧形判定。","passed","accepted","not-verified","not-run"
"03","不知火舞","E","必殺忍蜂","tpl-charge-push","直線突進撞擊；遇牆或到達最大距離停止。","向指定方向突進 300 wc3u，造成極小級碰撞範圍傷害與推移。","核對 Owner 原文與模擬／畫面後才可驗收。","passed","accepted","not-verified","not-run"
"03","不知火舞","R","超必殺忍蜂","tpl-lock-combo","有明顯起手的強化突進連擊，末段小範圍爆發。","4 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","缺突進命中後才接連擊條件。","passed","accepted","not-verified","not-run"
