編號,稱號,全名,職業,攻擊類型,名言,描述
godie-e001,蟬在叫人壞掉,龍宮禮奈,fighter,melee,嘘だ！（騙人的！）,"故事：
來自雛見澤的小女孩，喜歡把""好可愛""的東西帶回家。
(出自:寒蟬鳴泣之時)

推薦玩家 : 追擊殺人
上手度 : 中

角色成長：
力量 + 1.75
敏捷 + 2.80
智慧 + 1.65
基礎跑速 300

可學習的技能：
鬼隱之擊
、染血的柴刀、五吋釘、雛見澤症候群L5"
godie-e002,亞瑟王,Saber,fighter,melee,問おう、あなたが私のマスターか（我問你，你是我的Master嗎）,"故事：
在偶然的情況下與衛宮士郎定下契約的 、外觀嬌小的女性SERVANT，就是被認為能力最高的聖靈。
(出自:Fate/stay night)

推薦玩家 : 破塔PK
上手度 : 中

角色成長：
力量 + 2.70
敏捷 + 1.80
智慧 + 1.60
基礎跑速 300

可學習的技能：
風王結界、感知能力、約束與勝利之劍、Avalon-永恆的理想鄉"
godie-e007,龍之子,天地志狼,marksman,ranged,この乱世、俺が終わらせる！（這亂世，由我來終結！）,"故事：
本是平凡的國中二年級學生，因為母親項鍊的神奇力量來到三國時代，而被當做龍之子，跟仙人學習仙術及武術，以拯救龍之女為目標。
(出自:龍狼傳)

角色成長：
力量 + 1.80
敏捷 + 2.85
智慧 + 1.65
基礎跑速 300

可學習的技能：
柳術、鬥仙術、雲體風身之術、仙氣發勁"
godie-e008,火霧戰士,夏娜,fighter,melee,うるさいうるさいうるさい！（囉唆囉唆囉唆！）,"故事：
身分為火霧戰士，為了存在感稀薄的人而戰。
(出自:灼眼的夏娜)

推薦玩家 : 團戰殺人
上手度 : 難

角色成長：
力量 + 1.75
敏捷 + 2.90
智慧 + 1.55
基礎跑速 310

可學習的技能：
拔焰刀、火羽、赤焰爆發、討滅封絕"
godie-e00j,皇者,騜,fighter,melee,ひざまずけ、皇者（おうじゃ）の御成りだ！（跪下吧，皇者駕到！）,"故事：
出生於東方之珠的真龍天子，一出生就有龍氣附身，註定是強者中的強者。不過在初次與扁皇的對決中，騜被徹底打敗。後來騜得到十六天王的團結相助，終於擊敗了扁皇和其接班人謝常霆，登上尊位，成為真正的皇者。
(出自:馬皇降臨)

推薦玩家 : 牽制追擊
上手度 : 中

角色成長：
力量 + 2.40
敏捷 + 1.60
智慧 + 1.70
基礎跑速 310

可學習的技能：
謝謝指教、大和戰氣、皇者戰氣第五十重天、藍色戰氣一百重天"
godie-e00k,戰國刺客Azumi,安云,fighter,melee,私は、殺すために生きる（我為殺戮而生）,"故事：
少女殺手安云，是身手敏捷、拔刀神速，號稱百人斬的殺手刺客。在完成使命恢復自由之身後，決心投入愛與和平洗刷罪孽。
(出自:安云)

推薦玩家 : PK殺人
上手度 : 中

角色成長：
力量 + 1.65
敏捷 + 2.80
智慧 + 1.55
基礎跑速 310

可學習的技能：
斷末、迴切、瞬切百殺、幻影暗殺"
godie-e00l,亞瑟王,Saber,fighter,melee,問おう、あなたが私のマスターか（我問你，你是我的Master嗎）,
godie-e00n,蟬在叫人壞掉,龍宮禮奈,fighter,melee,嘘だ！（騙人的！）,
godie-e00q,英靈-亞瑟王,黑化Saber,fighter,melee,約束された勝利の剣（エクスカリバー・モルガン）！（誓約勝利之劍・魔劍摩根！（黑化聖劍的招牌寶具呼喊））,"故事：
被偽聖杯污染後的產物，她之所以會是最強，並不是因其作為劍士的能力，而是因為擁有龍之因子而得到的龐大魔力量。
(出自:Fate/hollow ataraxia)

推薦玩家 : 破塔PK
上手度 : 中

角色成長：
力量 + 2.20
敏捷 + 1.60
智慧 + 2.00
基礎跑速 270

可學習的技能：
力量強化、黑泥召喚、約束與勝利之劍、魔力增幅"
godie-e00r,最終泛用人型決戰兵器,初號機,fighter,melee,逃げちゃダメだ（不能逃避(EVA名句)）,"故事：
『汎用人型決戰兵器』EVANGELION初號機，採用半生物機械的製造，因此雖然能力強大,但是不好控制。作業系統為[J-Win95]，因此很容易發生""應用程式錯誤""而失控暴走 。

推薦玩家 : KUSO破塔
上手度 : 難

角色成長：
力量 + 1.75
敏捷 + 2.90
智慧 + 1.55
基礎跑速 300

可學習的技能：
吞噬、高震動周波短刀、AT力場、野戰型陽電子砲"
godie-e00s,白木老樹精,白木卡迪那,marksman,ranged,森（もり）の古木（こぼく）、その根で縛（しば）り上（あ）げてやろう。（森林古木，且以吾根縛盡爾等。（老樹精纏縛法術））,"故事：
白木家族是捍衛世界樹種族之一，與黃金龍族不同的是，通常處於被動守護狀態而不像黃金龍族常巡邏出擊，白木家族擅長控制自然元素牽制敵人。卡迪那本來是一顆瀕臨枯死的老樹精，受到飛鼠先生的祝福之後重生也得到了異常的魔法能量。
(出自:去死團逆襲原創)

推薦玩家 : 團戰殺人
上手度 : 易

角色成長：
力量 + 1.85
敏捷 + 1.10
智慧 + 2.80
基礎跑速 250

可學習的技能：
伸卡球、大怒石、木束縛之術、千年練成"
godie-e00t,七夜怪談,貞子,marksman,ranged,みんなを殺（ころ）してあげる。（我會把大家都殺掉喔。（《七夜怪談》貞子井底怨念的著名台詞））,"故事：
傳說中帶有恐怖怨念的超能力者，擅長爬出電視機嚇人，惹火她的人將會死無葬身之地。
(出自:七夜怪談)

推薦玩家 : 牽制殺人
上手度 : 難

角色成長：
力量 + 1.60
敏捷 + 2.00
智慧 + 2.20
基礎跑速 295

可學習的技能：
靈體化、驚駭、七夜怪談、靈壓震撼"
godie-e00u,完全而瀟灑的女僕,十六夜Sakuya,marksman,ranged,咲夜（さくや）の世界（ザ・ワールド）！（咲夜的世界！（十六夜咲夜停止時間的招牌符卡））,"故事：
(出自:東方Project)

推薦玩家 : --
上手度 : --

角色成長：
力量 + 1.40
敏捷 + 2.80
智慧 + 1.70
基礎跑速 300

可學習的技能：
離間之劍、千刃‧聚華、血染的銀匕首、夜霧的殺人鬼"
godie-e00v,百畝森林的霸主,維尼,fighter,melee,はちみつのためなら、何（なん）だってやるさ。（只要是為了蜂蜜，我什麼都幹得出來。（百畝森林霸主惡搞））,"故事：
小熊維尼是百畝森林裡最受歡迎的動物，約有22吋高，純真可愛，雖然有點笨拙，但心地善良。最愛吃蜂蜜，有很多好朋友。
(出自:小熊維尼)

推薦玩家 : 輔助牽制
上手度 : 中

角色成長：
力量 + 3.00
敏捷 + 1.60
智慧 + 1.40
基礎跑速 300

可學習的技能：
冷笑話、百畝森林保齡球、太太~妳的蜂蜜流出來摟、給我蜂蜜"
godie-e00w,神鳴流劍士,櫻綻剎那,fighter,melee,お嬢様は、私が守る（大小姐由我來守護）,"故事：
武道四天王之一，是在京都流傳已久的神鳴流劍術高手，也是個精通陰陽道的劍士。烏鴉族混血兒，由於擁有白色翅膀被族人逐出村莊，遂為木乃香的父親收養。
(出自:魔法老師)

推薦玩家 : 追擊殺手
上手度 : 難

角色成長：
力量 + 1.80
敏捷 + 2.85
智慧 + 1.65
基礎跑速 300

可學習的技能：
百烈櫻華斬、雷鳴劍、GLADIARIA ALAT、真-雷光劍"
godie-e00x,神鳴流劍士,櫻綻剎那,fighter,melee,お嬢様は、私が守る（大小姐由我來守護）,"故事：
武道四天王之一，是在京都流傳已久的神鳴流劍術高手，也是個精通陰陽道的劍士。烏鴉族混血兒，由於擁有白色翅膀被族人逐出村莊，遂為木乃香的父親收養。
(出自:魔法老師)

角色成長：
力量 + 1.80
敏捷 + 2.85
智慧 + 1.65
基礎跑速 300

可學習的技能：
斬魔劍、百烈櫻華斬、GLADIARIA ALAT、真雷光劍"
godie-e00z,戰國刺客Azumi,安云,fighter,melee,私は、殺すために生きる（我為殺戮而生）,
godie-e012,殺人劍客,佐佐木小次郎,fighter,melee,秘剣（ひけん）――燕返（つばめがえ）し！（秘劍・燕返！（佐佐木小次郎的傳說劍技））,"故事：
。
(出自:)

推薦玩家 : 連技殺手
上手度 : 難

角色成長：
力量 + 1.90
敏捷 + 2.60
智慧 + 1.70
基礎跑速 300

可學習的技能：
秘劍‧燕、秘劍‧返、七聲響-地之拔刀、隱秘劍‧地燕斬"
godie-e015,夜市人生,金居福,fighter,melee,夜市（よいち）の運命（さだめ）、なめんじゃねえ！（別小看夜市人生的命運！（台味惡搞））,"故事：
方恰恰的老公，他是在元配過世之後，才娶了方恰恰的。從事營造業，個性喜好吹噓，但其實很小氣，作風和方恰恰完全相反，很疼養兒子金大風。
(出自:夜市人生)

推薦玩家 : 團戰牽制
上手度 : 中

角色成長：
力量 + 2.30
敏捷 + 1.90
智慧 + 1.50
基礎跑速 305

可學習的技能：
北斗爆橘拳、橘山斬空破、珍奶顏射、賣扣~~"
godie-ecen,姜窩肯,約翰走路,marksman,ranged,歩（ある）き続（つづ）けろ――止（と）まったら、そこで終（お）わりだ。（繼續走下去——一旦停下，就到此為止。（約翰走路「Keep Walking」惡搞））,"故事：
酒不醉人人自醉，當初發跡是由一家小雜貨店開始。當時年紀才十五歲的約翰華克（John Walker）由於父親去世必須承擔家計，因此買下一間雜貨店，並開始販賣調和威士忌，但是他發現每次口味都不一樣，讓人失望，會調茶的他於是開始依樣畫葫蘆調和起威士忌，沒想到所調出的威士忌風味佳、品質穩定，不少有錢人漸漸成了老主顧；結果約翰華克調製的獨一無二威士忌，很快紅遍了蘇格蘭西部。
(出自:約翰走路)

角色成長：
力量 + 1.85
敏捷 + 1.65
智慧 + 2.80
基礎跑速 295

可學習的技能：
威士忌攻擊、酒釀精華、AT工廠機器人、魔幻浮水印"
godie-edem,寫輪眼復仇者,宇智波佐助,fighter,melee,お前を、殺す（我要殺了你）,"故事：
在忍者學校以第一名的成績畢業，是有名的""宇智波一族""的後代。復仇信念堅定，一心想殺了哥哥宇智波鼬。在與大蛇丸戰鬥時被施以咒印，有時會難以控制自我心性與力量。
(出自:火影忍者)

推薦玩家 : 連技殺人
上手度 : 難

角色成長：
力量 + 1.40
敏捷 + 2.50
智慧 + 2.00
基礎跑速 305

可學習的技能：
火遁-豪火龍之術、千鳥流、雷切、哥哥"
godie-efur,揍敵客大家長,揍敵客桀諾,marksman,ranged,もし殺（ころ）したい奴（やつ）がいたら連絡（れんらく）くれ。3割引（さんわりび）きで請（う）け負（お）うぞ？（要是有想殺的人就聯絡我，算你七折接單喔？（傑諾·揍敵客名言））,"故事：
來自殺手世家揍敵客家族，其才能在揍敵客家族歷史也是非常優秀。擁有超強的念能力，可以任意操縱敵人的生死。暗殺家族揍敵客家的家長。奇犽的祖父。 穿著「一日一殺」和「生涯現役」等刺繡的衣服。
(出自:偽獵人X獵人)

推薦玩家 : 追擊殺手
上手度 : 難

角色成長：
力量 + 1.50
敏捷 + 2.20
智慧 + 2.30
基礎跑速 315

可學習的技能：
老樹盤根、變化念力、快步、暗殺奧義"
godie-ekee,會叫的野獸,傳說中的大刀,marksman,ranged,斬（き）られてから吠（ほ）えても、もう遅（おそ）いぞ！（被砍了才嚎叫，可就太遲啦！（會叫的野獸・傳說大刀））,"故事：
出現於世界各地，汲汲營營、毀人不倦，通常手下都有大量的菸酒生可供使喚，特技是壓榨學生&奪取實驗成果，偶爾會參與政治鬥爭。
(出自:學期末校園大刀傳說(誤))

推薦玩家 : 怨念極大
上手度 : 難

角色成長：
力量 + 1.50
敏捷 + 2.90
智慧 + 1.80
基礎跑速 315

可學習的技能：
期末報告、抽點名、這次考試很簡單、you cannot pass!"
godie-emfr,魔法老師,涅吉。史普林。菲爾德,marksman,ranged,ラス・テル・マ・スキル・マギステル！（咒文起動！）,"故事：
英國某間魔法學校修行的首席畢業生涅吉，目前還只是個10歲的少年。他的目標是成為「出色的魔法使」。
(出自:魔法老師)

推薦玩家 : 團戰牽制
上手度 : 難

角色成長：
力量 + 1.60
敏捷 + 1.40
智慧 + 3.00
基礎跑速 290

可學習的技能：
風精召喚、沉睡之霧、雷電風暴、千之雷"
godie-emns,奇樂,夜神月,marksman,ranged,計画通り（一切都在計畫之中）,"故事：
英俊瀟灑，謹慎且機智，雖然極有女人緣但對異性不感興趣。高中三年級時在學校撿到了死神路克遺留人間界的死亡筆記""DEATH NOTE""，從而擁有了操縱生死的能力，並以""新世界的神""的名義君臨天下。
(出自:死亡筆記本)

推薦玩家 : 心機暗殺
上手度 : 難

角色成長：
力量 + 1.75
敏捷 + 1.50
智慧 + 2.70
基礎跑速 300

可學習的技能：
死神的規則、機警、火車輾過、心臟麻痺"
godie-etyr,治癒系公主,木乃香,marksman,ranged,うちが、みんな元気にしたげる♪（讓大家都恢復精神♪）,"故事：
父母家在京都的關西咒術協會，父親近衛詠春是關西咒術協會會長，祖父是關東魔法協會會長與麻帆良學園的校長，自身擁有驚世駭俗的魔法力量，有可能能成為世界頂級的治癒術師，在關東魔法協會一戰中被天崎千草借其魔力召喚出過百惡魔。
(2007部族盃比賽獎品 出自:魔法老師)

推薦玩家 : 輔助團戰
上手度 : 中

角色成長：
力量 + 1.60
敏捷 + 1.20
智慧 + 3.20
基礎跑速 295

可學習的技能：
東風繪扇、南風末廣、式神炸裂、魔力應援、聖夜降臨"
godie-ewar,龍之子,天地志狼,fighter,melee,この乱世、俺が終わらせる！（這亂世，由我來終結！）,"故事：
本是平凡的國中二年級學生，因為母親項鍊的神奇力量來到三國時代，而被當做龍之子，跟仙人學習仙術及武術，以拯救龍之女為目標。
(出自:龍狼傳)

推薦玩家 : 團戰狙擊
上手度 : 中

角色成長：
力量 + 1.80
敏捷 + 2.85
智慧 + 1.65
基礎跑速 300

可學習的技能：
鬥仙術、仙氣．採藥、破凰之心．徒手空破山、龍氣爆發"
godie-ewrd,天上天下,棗 真夜,fighter,melee,名（な）もなき戦士（せんし）、いざ参（まい）る！（無名戰士，這就上場！（輸入資料缺失，暫擬佔位台詞，待補全稱號後重查））,"故事：
立誓要以""武術""征服全校， 身為統道學園劍道部社長棗真夜，有必要以廣告招收新社員，於是參加了這場聖戰。
(出自:天上天下)

推薦玩家 : 團戰殺手
上手度 : 中

角色成長：
力量 + 1.95
敏捷 + 2.65
智慧 + 1.60
基礎跑速 310

可學習的技能：
殺無真空斬、鬼 - 真夜、空破圓斬、狂龍斬"
godie-h001,地獄來襲者,斑剎,fighter,melee,地獄の底から這い上がった…お前らも道連れだ！（從地獄深處爬上來的…把你們一起拖下去陪葬！）,"故事：
來自天堂的召喚師，擁有召喚強力怪獸的能力，同樣是充滿怨念的角色。
(出自:天堂)

推薦玩家 : 招喚破塔
上手度 : 難

角色成長：
力量 + 1.95
敏捷 + 1.55
智慧 + 2.80
基礎跑速 290

可學習的技能：
吸血鬼之吻、地裂術、召喚術、流星雨"
godie-h00l,時空勇者,林克,fighter,melee,ハイヤッ！（揮劍吶喊(角色近乎沉默)）,"故事：原本在森林中被當成『永遠不會長大的科奇利族人』般的生活著，直到某天因葛諾多夫的陰謀而知道自己真正的身世，為了對抗葛諾多夫，林克成為時空勇者 。
(出自:薩爾達傳說)

推薦玩家 : 肉盾牽制
上手度 : 易

角色成長：
力量 + 2.80
敏捷 + 2.00
智慧 + 1.20
基礎跑速 295

可學習的技能：
科奇利族迴旋鏢、鎖鏈槍、海拉爾之盾的庇護、迴旋斬"
godie-h01n,開外掛的死神,黑崎一護,fighter,melee,月牙天衝！（月牙天衝！）,"故事：黑崎一護除了能夠看見靈之外，是個很普通的高中生，但是有一天，出現了一個叫做〔虛〕的惡靈找上了他，此時！他遇見了死神朽木露琪亞，為了拯救家人，踏上代理死神這條路 。
(出自:死神BLEACH)

推薦玩家 : 輸出殺人
上手度 : 易

角色成長：
力量 + 2.75
敏捷 + 1.45
智慧 + 1.6
基礎跑速 295

可學習的技能：
瞬步、斬擊、月牙天衝、卍解"
godie-h01o,外掛開很大的死神,黑崎一護,fighter,melee,月牙天衝！（月牙天衝！）,
