狀態,階級,id,卡名,權重,出現回合,觸發時機,效果,翻盤力,引擎機制,tags,設計意圖／審查意見,修改需求
新增提案,silver,wellspring,湧泉,90,1-3,每 8 秒,回復 4% 最大生命與 4% 最大魔力。,低,onInterval + restore,"sustain,defense",白銀缺續戰力卡；不用做任何操作，最適合當第一回合的安全牌,
新增提案,silver,final-burst,臨終爆裂,85,1-3,死亡時,對周圍敵人造成 300 (+30% 法術強度) 魔法傷害。,低,onDeath + damageArea,burst,白銀價位的「死也咬你一口」；也讓死亡有畫面,
新增提案,silver,shared-grudge,同仇,85,1-3,隊友陣亡時,+20% 攻擊力與 +20% 法術強度，持續 15 秒。,低,onAllyDeath + applyBuff,"team,offense",1v2 是最常見的落後局面，白銀就該有一張回應它,
新增提案,silver,afterimage,殘影,85,1-3,迴避成功時,+30% 移動速度，持續 2 秒。,低,onEvade + applyBuff,"mobility,defense",迴避是本作特有屬性，卻沒有任何一張卡建在上面,
新增提案,silver,clean-robe,淨衣,85,1-3,被掛上減益時,30% 機率立刻淨化它。,低,onStatusApplied + dispel(chance),"anti-cc,defense",白銀價位的抗性卡；不會強到讓控場英雄失業,
新增提案,silver,accumulation,積蓄,85,1-3,累計造成傷害,"每造成 1,500 點傷害，永久 +1% 攻擊力，可疊 30 層（回合結束重置）。",低,onDamageDealt + extendBuff(perDamageFlat),"scaling,offense",白銀的成長型卡；三回合下來的複利很可觀，但單回合看不出來,
新增提案,silver,first-blood-bounty,首殺獎金,85,1-3,擊殺敵人時,額外獲得 150 金。,低,onKill + grantGold,economy,唯一一張經濟卡；也是唯一會影響下一回合商店的卡,
建議改名,silver,bloodlust,Bloodlust,100,1-3,常駐（無觸發）,+15% Attack Damage and +8% Lifesteal.,—（純屬性）,純 modifiers,"ad,sustain",英文卡名，其餘七張同階都是中文 —— 建議改「嗜血」,
保留,silver,iron-bulwark,鐵壁護甲,100,1-3,常駐（無觸發）,最大生命 +18%，護甲 +20。,—（純屬性）,純 modifiers,defense,,
保留,silver,swift-strikes,疾風連擊,100,1-3,常駐（無觸發）,攻擊速度 +25%，移動速度 +8%。,—（純屬性）,純 modifiers,"attack-speed,offense",,
