id,character,official_voice_actor,version,source_url_1,source_url_2,voice_characteristics,recommended_emotion,license_status,license_evidence_url,notes
godie-e001,龍宮禮奈,中原麻衣,TVアニメ版（2006年第1期～『業』『卒』まで全シリーズ続投）,https://higurashianime.com/staff.html,https://www.animatetimes.com/news/details.php?id=1631853657,柔らかく甘い中高音の少女声。「かぁいい〜」と語尾を伸ばす無邪気モードと、豹変時に一転して低く平坦で抑揚を殺した凄味ある声の二面性が最大の特徴,豹変の絶叫（「嘘だッ!!」型の狂気の怒叫）,not_permitted,,公式サイト(卒)キャスト頁で確認。2006年版から同一キャスト続投
godie-e002,Saber,川澄綾子,TVアニメ2006年版（以降UBW・Heaven's Feel等全作続投）,https://anime.eiga.com/program/101687/,https://www.animatetimes.com/news/details.php?id=1506074362,凛とした澄んだ中音域。気品と抑制のある騎士口調、断定的で芯の通った発声。戦闘時は張りのある叫びに転じる,詠唱→宝具名の咆哮（エクスカリバー解放型）,not_permitted,,アニメハックのキャスト欄で「セイバー：川澄綾子」を確認、大沢事務所所属
godie-e007,天地志狼,無固定動畫聲優,,,,年輕熱血古裝英雄；語速快且有爆發但不可像呂布般厚重,少年武将の気合の怒吼（原作イメージからの独自ディレクション）,unknown,,no official VA; skip verification（龍狼伝はアニメ化なし）
godie-e008,夏娜,釘宮理恵,TVアニメ第1期(2005年)～III -FINAL-まで全シリーズ,https://www.shakugan.com/contents/hp0053/index02110000.html,https://anime.eiga.com/program/100799/,鋭く張りのある高音のツンデレ声。「うるさいうるさいうるさい！」型の畳み掛ける早口の叱声、金属的な輝きのあるハイピッチ、戦闘時は鋭い気合,怒吼（三連呼型の叱声＋戦闘の気合）,not_permitted,,公式サイトshakugan.comのスタッフ＆キャスト頁で「シャナ 釘宮理恵」を直接確認
godie-e00k,安云,無固定動畫聲優,,,,柔らかく澄んだ少女声で感情を抑えた静かな果断さ（栗花落香奈乎/上田麗奈型）,静かな果断の一言,unknown,,原作あずみはアニメ化なし。選角方向は2026-07-25に栗花落香奈乎（上田麗奈）型へ変更（AudioGen交付基準、ゲーム語音素材採用）
godie-e00r,初號機,林原めぐみ（咆哮素材の収録担当）,TV版(1995-96)・旧劇場版の暴走咆哮（叫び声を録音後に低速・低音加工）,https://news.yahoo.co.jp/articles/cfd25a6fdbb364dbf3fe3885e794968c88470be2,http://lain.gr.jp/voicedb/trivia/item/811,人間（綾波レイ役・林原めぐみ）の絶叫を機械加工した獣的咆哮。喉を潰した全力の叫びが低音化処理で巨大生物の唸りになる,咆哮（獣性の絶叫、5-10秒の暴走ロア）,not_permitted,,林原本人がTOKYO FM番組で初号機アフレコを証言（Yahoo!ニュース記事）。新劇場版『破』の弐号機咆哮は宮村優子との情報あり
godie-e00w,櫻綻剎那,小林ゆう,TVアニメ2005年版ほかシリーズ通し,https://www.b-ch.com/titles/1332/,https://x.com/holy_kobayashi/status/1888187510045446507,クールで芯のある中低音の女性声。武人らしい硬質で折り目正しい口調、生真面目な抑制。動揺時は一気に上ずる振れ幅も持つ,斬撃の気合叫び（凛とした宣言→裂帛の一閃）,not_permitted,,バンダイチャンネル公式作品頁で確認、VA本人のX投稿でも役名を明言
godie-edem,宇智波佐助,杉山紀彰,TVアニメ2002年版～疾風伝・BORUTO続投,https://stay-luck.com/talent/sugiyama-noriaki/,https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%A1%E3%81%AF%E3%82%B5%E3%82%B9%E3%82%B1,低めの乾いたクールな青年声。抑揚を抑えた冷淡な語りに怒りを押し殺した凄味、掠れたエッジ。爆発時は喉に掛かる激しい怒声,冷語→怒吼（千鳥突撃型の激昂）,not_permitted,,所属事務所ステイラック公式プロフィールでうちはサスケ役を確認
godie-emfr,涅吉,佐藤利奈,TVアニメ2005年版ほかシリーズ続投（2017年『ネギま！2』も続投）,https://www.b-ch.com/titles/1332/,https://eiga.com/news/20170705/16/,女性声優による少年ボイス。柔らかく丁寧な高めの少年声、敬語基調の生真面目で健気な語り口。詠唱時はラテン語呪文を流麗に紡ぐ,詠唱（ラテン語呪文の高速詠唱→発動叫び）,not_permitted,,バンダイチャンネル公式作品頁と映画.comニュース（続投報道）で確認
godie-emns,夜神月,宮野真守,TVアニメ2006-2007年版,https://animeanime.jp/article/2021/04/13/60754.html,https://ja.wikipedia.org/wiki/DEATH_NOTE_(%E3%82%A2%E3%83%8B%E3%83%A1),明晰で艶のあるテノール。理知的で滑らかな語りから、狂気に振り切れた甲高い哄笑まで振れ幅が大きい。「計画通り」の押し殺した愉悦声も特徴,狂笑（「新世界の神」型の高笑い）,not_permitted,,アニメ！アニメ！記事とWikipediaで確認。NTV公式サイトは取得不可のためメディア2源で照合
godie-etyr,木乃香,野中藍,TVアニメ2005年版ほかシリーズ通し,https://www.b-ch.com/titles/1332/,https://ja.wikipedia.org/wiki/%E9%AD%94%E6%B3%95%E5%85%88%E7%94%9F%E3%83%8D%E3%82%AE%E3%81%BE!,ふんわり甘く柔らかな高音。おっとりした京都弁（関西弁）の緩やかなテンポ、包み込む癒し系の響き,治癒の詠唱（穏やかな癒し系の祈り口調）,not_permitted,,バンダイチャンネル公式作品頁で「近衛木乃香：野中藍」を確認
godie-h00l,林克,高梨謙吾,ゼルダの伝説 ブレス オブ ザ ワイルド（2017、日本語版。ティアキンも同様）,https://ja.wikipedia.org/wiki/%E3%82%BC%E3%83%AB%E3%83%80%E3%81%AE%E4%BC%9D%E8%AA%AC_%E3%83%96%E3%83%AC%E3%82%B9_%E3%82%AA%E3%83%96_%E3%82%B6_%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89,https://altema.jp/zeldabow/seiyuichiran,台詞はほぼ無く掛け声・気合・呻きのみ。軽やかな若い男性の中高音、短く鋭い「はっ！」「せいっ！」型の戦闘ボイス,戦闘の気合・掛け声（連続攻撃～大技の短い叫び）,not_permitted,,任天堂は公式キャスト頁を公開しておらず、Wikipediaとゲームメディア（アルテマ等）の照合による
godie-h01n,黑崎一護,森田成一,TVアニメ2004年版～千年血戦篇(2022-)まで一貫,https://stay-luck.com/talent/morita-masakazu/,https://www.oricon.co.jp/special/69033/,熱血少年系の中低音、ざらつきのあるハスキー声、叫び・シャウトに強く感情の振れ幅が大きい,怒吼（卍解の雄叫び系）,not_permitted,,所属事務所ステイラック公式プロフィールにBLEACH黒崎一護役を明記、オリコン公式キャスト特集でも照合済み
godie-h01u,呂布奉先,稲田徹,真・三國無双シリーズ歴代（無双8・ORIGINS公式ページで確認）,https://www.gamecity.ne.jp/smusou8/chara_ryofu.html,https://www.aoni.co.jp/search/inada-tetsu.html,超重量級の低音、地鳴りのような威圧感、獣じみた雄叫び、ゆったり構えた恫喝口調,咆哮,not_permitted,,コーエー公式キャラページCV表記＋青二プロダクション公式プロフィールに『真・三國無双シリーズ 呂布』明記で二重確認
godie-h020,莉娜因巴斯,林原めぐみ,TVアニメ1995年版ほかスレイヤーズシリーズ全作,https://www.b-ch.com/titles/2914/,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%8A%EF%BC%9D%E3%82%A4%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B9,明るく張りのある少女ハイトーン、早口でまくし立てるコメディ芝居、詠唱時は芝居がかった高揚→解放,怒吼（ドラグ・スレイブ詠唱→爆発の高揚系）,not_permitted,,バンダイチャンネル公式作品ページのキャスト欄で確認、Wikipediaで照合
godie-h02k,熊貓,無官方聲優,GGD原創,,,自由設計可（低沉憨厚獸聲建議）,咆哮,unknown,,no official VA; skip verification
godie-h02r,妙蛙花,配役未確定（フシギダネ＝林原めぐみのみ公式確認）,アニメ無印～AG（フシギバナ単体の担当声優は公表情報なし）,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%B7%E3%82%AE%E3%83%80%E3%83%8D,https://ciatr.jp/topics/168177,台詞なし・鳴き声のみ、「フシギバナ〜」と名を唸る低い獣声、腹に響く重い鳴き,咆哮,not_permitted,,三木眞一郎説はどの資料でも裏付け取れず。確認できたのはサトシのフシギダネ＝林原めぐみのみ。ハルカのフシギバナは静止画1シーンで声なし。要人工再查證
godie-h02u,草泥馬,無官方聲優,中國網路迷因,,,自由設計可（滑稽鼻音獸聲建議）,狂笑,unknown,,no official VA; skip verification
godie-hapm,Berserker,西前忠久,TVアニメ2006年版・UBW(2014-15)・劇場版HFで同一,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%89%8D%E5%BF%A0%E4%B9%85,https://typemoon.wiki.cre.jp/wiki/%E3%83%98%E3%83%A9%E3%82%AF%E3%83%AC%E3%82%B9,台詞ほぼ皆無、唸り・雄叫び特化の超重低音獣声、狂化による理性なき咆哮のみ,咆哮,not_permitted,,UBW公式サイトキャスト欄にバーサーカーは非掲載（確認済み）のためwiki系2源で照合。音声はほぼ咆哮のみでそっくりさん再現は比較的容易
godie-hart,克勞德,櫻井孝宏,FFVII AC(2005)以降～REMAKE(2020)/REBIRTH(2024),https://blog.ja.playstation.com/2020/03/27/20200327-ff7r/,https://dengekionline.com/articles/26223/,低め・乾いたクールボイス、抑制的でぶっきらぼう、感情を押し殺した平板さの奥に脆さ,冷語,not_permitted,,PlayStation公式ブログのCV表記＋電撃の本人公式インタビューで二重確認。2023年インテンション退所、現フリー
godie-hpal,藤井八雲,辻谷耕史,OVA第1期(1991)・第2期(1995),https://king-cr.jp/special/33eyes/,https://www.eigeki.com/series/S77144,柔らかく穏やかな青年中音域、朴訥な優しさ、死に際・切迫時の悲痛な絶叫とのギャップ,悲痛な絶叫,not_permitted,,キングレコード公式特設ページで両OVAとも八雲＝辻谷耕史を確認、衛星劇場番組ページで照合。辻谷氏は2018年逝去のため新規収録不可、そっくりさん必須
godie-hpb1,蒼月潮,佐々木望（OVA1992年版）/畠中祐（TV2015年版）,OVA版(1992-93)＝佐々木望・とら＝大塚周夫／TVアニメ2015-16年版＝畠中祐,https://www.mau2.com/anime/usiototora,https://www.allcinema.net/cinema/88451,荒削りでガラッとした元気な少年声、喉を開けた熱血シャウト、啖呵の切れ味,怒吼,not_permitted,,選角方向はOVA版佐々木望基準（AudioGen交付、幽助型）。OVAキャストはmau2+allcinemaで二重確認。TV2015年版=畠中祐は賢プロダクション公式とナタリーで確認済み
godie-huth,魔人普烏,塩屋浩三,TVアニメ ドラゴンボールZ(1993-95)～超,https://www.oricon.co.jp/news/2433083/full/,https://natalie.mu/comic/news/657939,太くユーモラスなだみ声、無邪気な幼児性と不気味さの同居、「ブウ〜」と伸ばす独特の語尾、上機嫌な高笑い,狂笑,not_permitted,,訃報記事2本（オリコン・ナタリー）が魔人ブウ役を明記、所属は青二プロダクション。2026年1月逝去（71歳）のため新規収録不可
godie-hvsh,Rider,浅川悠,TVアニメ2006年版・UBW(2014-15)・劇場版HFで同一,https://www.fate-sn.com/ubw/sp/chara/,https://dengekionline.com/articles/27321/,低めで艶のある大人の女性声、囁くようなミステリアスな抑揚、静かな色気と冷たさ,冷語,not_permitted,,UBW公式サイトキャラページに『ライダー：浅川悠』を直接確認、電撃の本人公式インタビューで照合。FGOでもメドゥーサ系5役を継続担当
godie-hvwd,桔梗,日髙のり子,犬夜叉 TVアニメ(2000-2004)・完結編も同キャスト,https://norikohidaka.com/profiles,https://ja.wikipedia.org/wiki/%E6%97%A5%E9%AB%99%E3%81%AE%E3%82%8A%E5%AD%90,低めで澄んだ落ち着いた女性声。凛とした巫女口調、感情を抑えた静かな哀愁と威厳,静かな悲哀（抑えた哀しみと決意の台詞）,not_permitted,,本人公式サイトのプロフィールに『犬夜叉』桔梗と明記、二重確認済み
godie-n003,依文潔琳,松岡由貴,魔法先生ネギま!(2005年TV)〜ネギま!?(2006)〜UQ HOLDER!まで同キャスト,https://anime.eiga.com/person/10821/program/,https://ja.wikipedia.org/wiki/%E9%AD%94%E6%B3%95%E5%85%88%E7%94%9F%E3%83%8D%E3%82%AE%E3%81%BE!_(%E3%82%A2%E3%83%8B%E3%83%A1),幼い高音の少女声に尊大で古風な貴族的口調を乗せるギャップ。嘲るような笑いと威圧,高慢な嘲笑（見下すような不敵な台詞）,not_permitted,,アニメハック出演リストで(エヴァンジェリン)役を確認
godie-n00b,哆拉A夢,水田わさび,テレビ朝日版2005年4月以降(4代目),https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%A9%E3%81%88%E3%82%82%E3%82%93_(2005%E5%B9%B4%E3%81%AE%E3%83%86%E3%83%AC%E3%83%93%E3%82%A2%E3%83%8B%E3%83%A1),https://news.mynavi.jp/article/20230324-2633029/,明るく丸みのある中性的ハイトーン。コミカルで表情豊か、慌てると早口で跳ねる,コミカルな慌てふためき（叫び→安堵）,not_permitted,,大山のぶ代(〜2005年3月)と混同しないこと
godie-n00p,南野秀一,緒方恵美,幽☆遊☆白書 TVアニメ(1992-1995)、緒方のデビュー作,https://v-storage.jp/talk/interview/95724/,https://kadobun.jp/trial/saisei/entry-41357.html,中性的で穏やかな青年声。知的で物腰柔らか、戦闘時は温度が下がる冷徹さ,静かな怒り（冷たく抑えた威圧の台詞）,not_permitted,,バンダイナムコ公式V-STORAGE鼎談とKADOKAWA記事で確認
godie-n01c,勇者小呆,種﨑敦美,ドラゴンクエスト ダイの大冒険 2020年版TVアニメ,https://natalie.mu/comic/news/380768,https://www.oricon.co.jp/special/56354/,真っ直ぐで元気な少年声。純粋さと必殺技の熱血シャウト（アバンストラッシュ）,熱血の雄叫び（技名叫び・勇気の宣言）,not_permitted,,表記は種﨑が正式。1991年版は藤田淑子で別人
godie-nplh,麻倉葉,佐藤ゆうこ,シャーマンキング2001年版(2001-2002)。2021年版は日笠陽子に交代,https://ja.wikipedia.org/wiki/%E4%BD%90%E8%97%A4%E3%82%86%E3%81%86%E3%81%93_(%E5%A3%B0%E5%84%AA),https://www.animatetimes.com/news/details.php?id=1600240300,脱力したゆるい少年声。のんびりおおらか、「憑依合体」もユルく言う飄々さ,のほほんとした余裕（「なんとかなるって」系の脱力台詞）,not_permitted,,2001年版=佐藤ゆうこで確認済み。2021年版の葉=日笠陽子(アンナ林原めぐみ・ハオ高山みなみは続投)
godie-o00k,皮卡娘,無官方聲優,SATO×PICA同人,,,（参考）ピカチュウ風の高音萌え声を想定した同人キャラ,かわいい喜び,unknown,,no official VA; skip verification
godie-o00l,傑洛士,石田彰,スレイヤーズNEXT(1996)以降のシリーズ,https://anime.eiga.com/person/10969/,https://nlab.itmedia.co.jp/research/articles/1563583/,柔らかく飄々とした軽い青年声。慇懃で本心を見せない微笑混じりの話し方、「それは秘密です」,微笑を含んだ挑発（愉しげで薄気味悪い余裕）,not_permitted,,アニメハック略歴に「96年スレイヤーズNEXTのゼロス」と明記
godie-o00x,悟空,野沢雅子,TVアニメ1986年〜現在の全シリーズ(Z/超/DAIMA、悟飯・悟天も兼役),https://www.toei-anim.co.jp/tv/dragon_s/special/10.html,https://ja.wikipedia.org/wiki/%E9%87%8E%E6%B2%A2%E9%9B%85%E5%AD%90,ハスキーで芯の強い少年声。素朴な訛り（オラ）、戦闘時の突き抜ける雄叫び,戦闘の雄叫び（かめはめ波・ワクワクの興奮）,not_permitted,,東映アニメーション公式サイトで悟空役と確認
godie-o02p,初音,藤田咲(音源提供),VOCALOID2 初音ミク(2007)〜現行版、クリプトン・フューチャー・メディア,https://ec.crypton.co.jp/pages/prod/vocaloid/cv01,https://ja.wikipedia.org/wiki/%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF,ポップでキュートな高音の合成歌声。電子的な透明感、機械的可憐さ,明るくかわいい歌声（正規ソフトで自作合成）,needs_manual_license_review,https://piapro.jp/license/pcl,クリプトン公式に「CV：藤田咲(Artsvision)」と明記。PCLはキャラ二次創作(非営利)の許諾で、合成音声自体はソフトのEULAが別途適用。所有ソフトからの合法合成出力のみ使用可、営利利用はクリプトンへ要連絡
godie-ofar,皮卡丘,大谷育江,TVアニメ ポケットモンスター1997年〜現在(全シリーズ続投),https://www.oricon.co.jp/news/2275565/full/,https://www.animatetimes.com/tag/details.php?id=1800,高音のかわいい鳴き声のみ（ピカピカ/ピカチュウ）。音程と抑揚だけで感情表現,喜びの鳴き声（弾む「ピカピカ！」）,not_permitted,,劇中台詞は鳴き声のみ、サウンドロゴ級に権利管理が厳格
godie-ogld,黑人牙膏,無官方聲優,GGD原創,,,禮貌克制且自信專業；威脅感藏在平靜語氣下；不可直接模仿特定真人,自由に設定可（原創キャラ）,unknown,,no official VA; skip verification
godie-orkn,臭作,版本資料不一(クレジット不詳),臭作 OVA(1999頃)/成人ゲーム版,https://ja.wikipedia.org/wiki/%E8%87%AD%E4%BD%9C,https://www.anikore.jp/anime/6709/,中年男性的粗啞低音、卑屈でねっとりした口調が特徵(依作品形象推定),卑屈な追従→下卑た笑い,not_permitted,,Wikipedia本文にもCV記載なし。成人作品は別名義・無署名慣行のため可信來源不存在、依指示記為版本資料不一
godie-osam,殺生丸,成田剣,TVアニメ『犬夜叉』(2000-)〜『半妖の夜叉姫』,https://ja.wikipedia.org/wiki/%E6%AE%BA%E7%94%9F%E4%B8%B8,https://www.animatetimes.com/news/details.php?id=1618467926&p=3,低く冷徹な中低音、抑揚を抑えた貴族的で静かな威圧感,冷徹な威圧・静かな怒り,not_permitted,,公式サイト(sunrise-inc.co.jp/yasya)は畫像構成でVA名未掲載、Wikipedia+アニメイトタイムズで二重確認
