id,character,official_voice_actor,version,source_url_1,source_url_2,voice_characteristics,recommended_emotion,notes
godie-e001,龍宮禮奈,中原麻衣,寒蟬鳴泣之時,https://www.youtube.com/watch?v=jqLu4rKv0q4,https://higurashianime.com/news/article_0003.html,甜美可愛突然轉成低沉狂氣；需要明顯L5情緒轉折,甜美可愛突然轉成低沉狂氣；需要明顯L5情緒轉折,two_source_verified; 動畫官網 CAST 確認龍宮レナ由中原麻衣演出
godie-e002,Saber,川澄綾子,Fate/stay night,https://www.youtube.com/watch?v=zfjbLLxdZOU,https://www.fate-sn.com/sp/staffcast/cast.html,中低音端正克制有王者感；避免過度柔弱,中低音端正克制有王者感；避免過度柔弱,two_source_verified; Heaven's Feel 官網 CAST 確認セイバー由川澄綾子演出
godie-e007,天地志狼,無固定動畫聲優,龍狼傳,https://www.youtube.com/watch?v=_qF8GGFv3OA,https://ohira-shunya.com/contents/453192,年輕熱血古裝英雄；語速快且有爆發但不可像呂布般厚重,年輕熱血古裝英雄；語速快且有爆發但不可像呂布般厚重,two_source_verified; 演員官網確認舞台《龍狼伝 第二章》天地志狼役為大平峻也；這不是固定動畫聲線
godie-e008,夏娜,釘宮理恵,灼眼的夏娜,https://www.youtube.com/watch?v=3mmXNmGCPwY,https://www.shakugan.com/contents/hp0051/index00070000.html,尖銳高音短句急促；適合連續怒吼與快速情緒爆發,尖銳高音短句急促；適合連續怒吼與快速情緒爆發,two_source_verified; 動畫官網 CAST 確認シャナ由釘宮理恵演出
godie-e00k,安云,無固定動畫聲優,あずみ,https://www.youtube.com/watch?v=c4vd_ONS8YY,https://oggi.jp/6175017,偏低女聲帶少年感；冷靜短促且有殺手壓迫感,偏低女聲帶少年感；冷靜短促且有殺手壓迫感,two_source_verified; 正式演員專訪確認今泉佑唯主演舞台《あずみ〜戦国編〜》；這不是固定動畫聲線
godie-e00r,初號機,無固定人類聲優,新世紀福音戰士,https://www.youtube.com/watch?v=WLHNOS80_W8,https://www.evangelion.jp/2_0/chara.html,獸性咆哮痛苦尖叫喘息與機械共振；禁止普通唸稿,獸性咆哮痛苦尖叫喘息與機械共振；禁止普通唸稿,two_source_verified; 《破》官網確認初號機與碇シンジ的作品版本；初號機咆哮不視為一般人類聲優資料
godie-e00w,櫻綻剎那,小林ゆう,魔法老師,https://www.youtube.com/watch?v=hPli1o3hB84,https://king-cr.jp/special/negima_complete-box/,平常恭敬認真；戰鬥時高張力且比Saber更年輕,平常恭敬認真；戰鬥時高張力且比Saber更年輕,two_source_verified; KING RECORDS 官方 BOX 頁確認桜咲刹那由小林ゆう演出
godie-edem,宇智波佐助,杉山紀彰,火影忍者,https://www.youtube.com/watch?v=nhk8W8V91oY,https://www.tv-tokyo.co.jp/anime/naruto/sp/staff/index.html,鼻腔共鳴冷淡短句；憤怒但壓抑,鼻腔共鳴冷淡短句；憤怒但壓抑,two_source_verified; テレビ東京 CAST 確認うちはサスケ由杉山紀彰演出
godie-emfr,涅吉,佐藤利奈,魔法老師,https://www.youtube.com/watch?v=hPli1o3hB84,https://king-cr.jp/special/negima_complete-box/,清亮認真略緊張；施法時突然提高張力,清亮認真略緊張；施法時突然提高張力,two_source_verified; KING RECORDS 官方 BOX 頁確認ネギ由佐藤利奈演出
godie-emns,夜神月,宮野真守,死亡筆記本,https://www.youtube.com/watch?v=t7_A5SQhRuE,https://madhouse.co.jp/works/tv_deathnote/,正常推理與失控狂笑必須形成巨大反差,正常推理與失控狂笑必須形成巨大反差,two_source_verified; MADHOUSE 作品頁確認夜神月由宮野真守演出
godie-etyr,木乃香,野中藍,魔法老師,https://www.youtube.com/watch?v=hPli1o3hB84,https://king-cr.jp/special/negima_complete-box/,溫暖柔和帶關西腔感；避免高聲尖叫,溫暖柔和帶關西腔感；避免高聲尖叫,two_source_verified; KING RECORDS 官方 BOX 頁確認近衛木乃香由野中藍演出
