id,character,default_instruct_ja,attack_instruct_ja,ultimate_instruct_ja,hurt_instruct_ja,death_instruct_ja
godie-e001,龍宮禮奈,甘く可愛らしい少女の声。普段は明るく弾むが、一瞬で低く平坦な狂気を帯びた声に豹変する。音域の落差を最大限に使う。通常時の話し方。特定の実在人物の声を模倣しない。,甘く可愛らしい少女の声。普段は明るく弾むが、一瞬で低く平坦な狂気を帯びた声に豹変する。音域の落差を最大限に使う。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,甘く可愛らしい少女の声。普段は明るく弾むが、一瞬で低く平坦な狂気を帯びた声に豹変する。音域の落差を最大限に使う。必殺技では甘い声を捨て、低く抑揚を殺した狂気の宣告から絶叫へ雪崩れ込む。特定の実在人物の声を模倣しない。,甘く可愛らしい少女の声。普段は明るく弾むが、一瞬で低く平坦な狂気を帯びた声に豹変する。音域の落差を最大限に使う。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,甘く可愛らしい少女の声。普段は明るく弾むが、一瞬で低く平坦な狂気を帯びた声に豹変する。音域の落差を最大限に使う。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-e002,Saber,凛とした中低音の若い女性の声。気品と抑制のある騎士の口調で、母音がまっすぐ揺れない。過度に柔弱にしない。通常時の話し方。特定の実在人物の声を模倣しない。,凛とした中低音の若い女性の声。気品と抑制のある騎士の口調で、母音がまっすぐ揺れない。過度に柔弱にしない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,凛とした中低音の若い女性の声。気品と抑制のある騎士の口調で、母音がまっすぐ揺れない。過度に柔弱にしない。宝具解放。抑制を解き、張りのある堂々とした咆哮で技名を宣言する。特定の実在人物の声を模倣しない。,凛とした中低音の若い女性の声。気品と抑制のある騎士の口調で、母音がまっすぐ揺れない。過度に柔弱にしない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,凛とした中低音の若い女性の声。気品と抑制のある騎士の口調で、母音がまっすぐ揺れない。過度に柔弱にしない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-e007,天地志狼,若く熱血な少年武将の声。語速は速く叫びに爆発力があるが、声質は軽めで厚重にしない。通常時の話し方。特定の実在人物の声を模倣しない。,若く熱血な少年武将の声。語速は速く叫びに爆発力があるが、声質は軽めで厚重にしない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,若く熱血な少年武将の声。語速は速く叫びに爆発力があるが、声質は軽めで厚重にしない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,若く熱血な少年武将の声。語速は速く叫びに爆発力があるが、声質は軽めで厚重にしない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,若く熱血な少年武将の声。語速は速く叫びに爆発力があるが、声質は軽めで厚重にしない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-e008,夏娜,鋭く張りのある高音の少女の声。短い言葉を畳みかける早口で、怒りが一気に燃え上がる。通常時の話し方。特定の実在人物の声を模倣しない。,鋭く張りのある高音の少女の声。短い言葉を畳みかける早口で、怒りが一気に燃え上がる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,鋭く張りのある高音の少女の声。短い言葉を畳みかける早口で、怒りが一気に燃え上がる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,鋭く張りのある高音の少女の声。短い言葉を畳みかける早口で、怒りが一気に燃え上がる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,鋭く張りのある高音の少女の声。短い言葉を畳みかける早口で、怒りが一気に燃え上がる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-e00k,安云,柔らかく澄んだ少女の声。普段は物静かで感情を抑えているが冷たくはなく、戦闘では静かな果断さが宿る。通常時の話し方。特定の実在人物の声を模倣しない。,柔らかく澄んだ少女の声。普段は物静かで感情を抑えているが冷たくはなく、戦闘では静かな果断さが宿る。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,柔らかく澄んだ少女の声。普段は物静かで感情を抑えているが冷たくはなく、戦闘では静かな果断さが宿る。大技でも張り上げない。澄んだ声のまま、迷いなく言い切る。特定の実在人物の声を模倣しない。,柔らかく澄んだ少女の声。普段は物静かで感情を抑えているが冷たくはなく、戦闘では静かな果断さが宿る。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,柔らかく澄んだ少女の声。普段は物静かで感情を抑えているが冷たくはなく、戦闘では静かな果断さが宿る。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-e00r,初號機,人語ではない。獣の咆哮、苦痛の絶叫、荒い呼吸に機械的な共鳴が重なった巨大生物の声。普通の朗読は禁止。低い唸りと荒い機械混じりの呼吸。今にも暴れ出しそうな不穏さ。特定の実在人物の声を模倣しない。,人語ではない。獣の咆哮、苦痛の絶叫、荒い呼吸に機械的な共鳴が重なった巨大生物の声。普通の朗読は禁止。短く爆発する獣の咆哮。言葉はない。特定の実在人物の声を模倣しない。,人語ではない。獣の咆哮、苦痛の絶叫、荒い呼吸に機械的な共鳴が重なった巨大生物の声。普通の朗読は禁止。暴走。長く引き伸ばした絶叫が咆哮に変わり、理性の欠片もない。特定の実在人物の声を模倣しない。,人語ではない。獣の咆哮、苦痛の絶叫、荒い呼吸に機械的な共鳴が重なった巨大生物の声。普通の朗読は禁止。金属的な悲鳴混じりの苦痛の咆哮。特定の実在人物の声を模倣しない。,人語ではない。獣の咆哮、苦痛の絶叫、荒い呼吸に機械的な共鳴が重なった巨大生物の声。普通の朗読は禁止。力尽きて途切れ途切れになる低い唸りと荒い呼吸。特定の実在人物の声を模倣しない。
godie-e00w,櫻綻剎那,礼儀正しく生真面目な若い女剣士の声。普段は丁寧で硬質、戦闘では張り詰めた裂帛の気合いに変わる。セイバーより若い。通常時の話し方。特定の実在人物の声を模倣しない。,礼儀正しく生真面目な若い女剣士の声。普段は丁寧で硬質、戦闘では張り詰めた裂帛の気合いに変わる。セイバーより若い。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,礼儀正しく生真面目な若い女剣士の声。普段は丁寧で硬質、戦闘では張り詰めた裂帛の気合いに変わる。セイバーより若い。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,礼儀正しく生真面目な若い女剣士の声。普段は丁寧で硬質、戦闘では張り詰めた裂帛の気合いに変わる。セイバーより若い。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,礼儀正しく生真面目な若い女剣士の声。普段は丁寧で硬質、戦闘では張り詰めた裂帛の気合いに変わる。セイバーより若い。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-edem,宇智波佐助,鼻腔に響く冷たい少年の声。抑揚を抑えた短い吐き捨てで、怒りを押し殺した凄味がある。通常時の話し方。特定の実在人物の声を模倣しない。,鼻腔に響く冷たい少年の声。抑揚を抑えた短い吐き捨てで、怒りを押し殺した凄味がある。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,鼻腔に響く冷たい少年の声。抑揚を抑えた短い吐き捨てで、怒りを押し殺した凄味がある。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,鼻腔に響く冷たい少年の声。抑揚を抑えた短い吐き捨てで、怒りを押し殺した凄味がある。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,鼻腔に響く冷たい少年の声。抑揚を抑えた短い吐き捨てで、怒りを押し殺した凄味がある。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-emfr,涅吉,澄んだ少年（男の子）の声。真面目で少し緊張気味の敬語口調、詠唱で急に張りが出る。通常時の話し方。特定の実在人物の声を模倣しない。,澄んだ少年（男の子）の声。真面目で少し緊張気味の敬語口調、詠唱で急に張りが出る。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,澄んだ少年（男の子）の声。真面目で少し緊張気味の敬語口調、詠唱で急に張りが出る。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,澄んだ少年（男の子）の声。真面目で少し緊張気味の敬語口調、詠唱で急に張りが出る。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,澄んだ少年（男の子）の声。真面目で少し緊張気味の敬語口調、詠唱で急に張りが出る。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-emns,夜神月,理知的で滑らかな青年の声。冷静な推理口調から、箍の外れた甲高い高笑いまで大きく振れる。通常時の話し方。特定の実在人物の声を模倣しない。,理知的で滑らかな青年の声。冷静な推理口調から、箍の外れた甲高い高笑いまで大きく振れる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,理知的で滑らかな青年の声。冷静な推理口調から、箍の外れた甲高い高笑いまで大きく振れる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,理知的で滑らかな青年の声。冷静な推理口調から、箍の外れた甲高い高笑いまで大きく振れる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,理知的で滑らかな青年の声。冷静な推理口調から、箍の外れた甲高い高笑いまで大きく振れる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
