# secret-scan 規則表 —— ⭐ 規則住這裡,⛔ 不烘進腳本（第〇·四守則）
# 欄位: id <TAB> kind(content|path) <TAB> regex(ERE) <TAB> specimen <TAB> 說明
# ⚠️ specimen 是**校準檢體**: scripts/secret-scan.sh --calibrate 會確認每一條規則
#    真的抓得到自己的檢體。抓不到 ⇒ 這把尺是瞎的 ⇒ 整份掃描結果作廢。
# ⛔ specimen 一律用公開的官方範例值或明顯的假值,⛔ 不可以貼真的憑證。
private-key	content	-----BEGIN ([A-Z]+ )*PRIVATE KEY-----	-----BEGIN RSA PRIVATE KEY-----	PEM/OpenSSH 私鑰本體
putty-key	content	PuTTY-User-Key-File	PuTTY-User-Key-File-3: ssh-ed25519	PuTTY 私鑰
pgp-key	content	-----BEGIN PGP PRIVATE KEY BLOCK-----	-----BEGIN PGP PRIVATE KEY BLOCK-----	PGP 私鑰
aws-akid	content	(^|[^A-Za-z0-9/+])(AKIA|ASIA|ABIA|ACCA)[0-9A-Z]{16}([^A-Za-z0-9/+=]|$)	 AKIA{{}}QWERTYUIOPASDFGH 	AWS access key id
aws-secret	content	aws_?(secret)_?access_?key[^A-Za-z0-9]{1,4}[A-Za-z0-9/+=]{40}	aws_secret_access_key=AbCd{{}}EfGhIjKlMnOpQrStUvWxYz0123456789AbCd	AWS secret access key
gcp-sa-json	content	"type"[[:space:]]*:[[:space:]]*"service_account"	"type": "service_account"	GCP service-account 金鑰 JSON
google-api	content	AIza[0-9A-Za-z_-]{35}	AIza{{}}SyDUMMYDUMMYDUMMYDUMMYDUMMYDUMMYdum	Google API key
gh-token	content	gh[pousr]_[A-Za-z0-9]{36}	ghp_{{}}0123456789abcdefghijklmnopqrstuvwxyzAB	GitHub token
gh-pat-fine	content	github_pat_[A-Za-z0-9_]{60,}	github_pat_{{}}11ABCDEFG0abcdefghijkl_0123456789abcdefghijklmnopqrstuvwxyz0123456789abcdef	GitHub fine-grained PAT
slack-token	content	xox[baprs]-[A-Za-z0-9-]{12,}	xoxb{{}}-000000000000-000000000000-abcdefghijklmnopqrstuvwx	Slack token
slack-webhook	content	https://hooks\.slack\.com/services/[A-Za-z0-9/+_-]{20,}	https://hooks.slack.com/services/T00000000/B00000000/{{}}abcdefghijklmnopqrstuvwx	Slack incoming webhook
anthropic-key	content	sk-ant-[A-Za-z0-9_-]{24,}	sk-ant-{{}}api03-DUMMYDUMMYDUMMYDUMMYDUMMYDUMMY	Anthropic API key
openai-key	content	sk-(proj-)?[A-Za-z0-9_-]{32,}	sk-proj-{{}}DUMMYDUMMYDUMMYDUMMYDUMMYDUMMYDUMMY	OpenAI API key
hf-token	content	hf_[A-Za-z]{34}	hf_{{}}DUMMYDUMMYDUMMYDUMMYDUMMYDUMMYdumm	HuggingFace token
npm-token	content	npm_[A-Za-z0-9]{36}	npm_{{}}0123456789abcdefghijklmnopqrstuvwxyzAB	npm publish token
gitlab-pat	content	glpat-[A-Za-z0-9_-]{20}	glpat-{{}}DUMMYDUMMYDUMMYDUMMY	GitLab PAT
stripe-live	content	(sk|rk)_live_[A-Za-z0-9]{20,}	sk_live_{{}}DUMMYDUMMYDUMMYDUMMYDUM	Stripe live secret key
sendgrid	content	SG\.[A-Za-z0-9_-]{20,}\.[A-Za-z0-9_-]{40,}	SG.{{}}DUMMYDUMMYDUMMYDUMMY.DUMMYDUMMYDUMMYDUMMYDUMMYDUMMYDUMMYDUMMY	SendGrid API key
twilio-sid	content	AC[0-9a-f]{32}	AC{{}}deadbeefdeadbeefdeadbeefdeadbeef	Twilio account SID
jwt	content	eyJ[A-Za-z0-9_-]{14,}\.eyJ[A-Za-z0-9_-]{14,}\.[A-Za-z0-9_-]{16,}	eyJ{{}}hbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwibmFtZSI6ImEiLCJpYXQiOjF9.DUMMYDUMMYDUMMYDUMMYdum	JWT（可能帶 claim 或 session）
cred-url	content	[a-z][a-z0-9+.-]*://[A-Za-z0-9._%+-]{2,}:[^@/[:space:]"'`]{4,}@[A-Za-z0-9.-]	postgres://ggduser:hunter2hunter2@db.internal/ggd	URL 內嵌帳密
docker-auth	content	"auth"[[:space:]]*:[[:space:]]*"[A-Za-z0-9+/]{24,}={0,2}"	"auth": "ZG9ja2VydXNlcjpodW50ZXIyaHVudGVyMg=="	docker config.json registry 憑證
bcrypt-hash	content	\$2[aby]\$[0-9]{2}\$[A-Za-z0-9./]{53}	$2b$12$abcdefghijklmnopqrstuuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ012	bcrypt 雜湊（.htpasswd／匯出的帳號表）
generic-assign	content	(^|[^A-Za-z0-9-])(password|passwd|secret|api_?key|access_?key|auth_?token|client_?secret|private_?key)["'[:space:]]*[:=][[:space:]]*["'][^"'[:space:]${}<>(]{12,}["']	const password = "Tr0ub4dor&3xample"	硬編碼的密碼／金鑰指派
keyfile	path	\.(pem|key|p12|pfx|jks|keystore|ppk|kdbx|asc|gpg)$	deploy/prod.pem	金鑰檔被 commit
ssh-keyfile	path	(^|/)(id_rsa|id_dsa|id_ecdsa|id_ed25519|\.netrc|\.pypirc|\.htpasswd|authorized_keys)$	.ssh/id_ed25519	SSH／套件庫憑證檔
dotenv	path	(^|/)\.env($|\.)	apps/game-server/.env.production	實際 .env 被 commit
# ── kind=infra：⭐ 不是金鑰,是**登入方法／基礎設施**（owner 原話含「登入方法」)。
#    ⚠️ 只在 `--infra` 跑 —— 這一族在 docs/CLAUDE.md 裡是**刻意**寫的部署說明,
#    ⛔ 混進預設閘會讓它每次都紅幾百筆,而一個每次都紅的閘等於沒有閘。
# ⚠️⚠️ **我們自己主機的位址⛔不寫在這裡** —— 那等於為了偵測洩漏而再洩漏一次。
#    ⭐ 它們住 `hosts.local.tsv`（⛔ 不進 git）,掃描時動態長成規則;沒有那個檔就**大聲說**
#    「這一族沒有在驗」（⛔ 不是靜默跳過）。
ssh-user-host	infra	(^|[^A-Za-z0-9._-])[a-z_][a-z0-9_-]*@((3[0-9]|1[0-9]{2}|2[0-4][0-9])\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})	 deployer@34.81.104.163 	ssh 帳號@主機 —— ⭐ 這是登入憑證的**一半**
ssh-keypath	infra	~/\.ssh/[A-Za-z0-9_.-]+	~/.ssh/ggd_mini	**自訂**私鑰檔名 —— ⛔ 不是金鑰本體,但指名了要偷哪一把（id_rsa 這種通用名走 known-public）
