id,character,voice_profile,reason,recommended_source
community-review-21-20260907,鹿目圓,female_high_gentle,no reference audio yet,record_new_voice
community-review-26-20260907,名偵探柯南,child_boy_clear,no reference audio yet,record_new_voice
community-review-28-20260907,艾莉絲·伯雷亞斯·格雷拉特,female_mid_fierce,no reference audio yet,record_new_voice
community-review-29-20260907,芙莉蓮,female_low_calm,no reference audio yet,record_new_voice
community-review-31-20260907,SUN樂,male_youth_energetic,no reference audio yet,record_new_voice
community-review-35-20260907,炭治郎,male_youth_earnest,no reference audio yet,record_new_voice
community-review-36-20260907,鬼畜王蘭斯,male_mid_brash,no reference audio yet,record_new_voice
b2-aladdin,阿拉丁,child_boy_clear,no reference audio yet,record_new_voice
b2-albus,阿爾巴斯,male_youth_deadpan,no reference audio yet,record_new_voice
b2-fushi,不死,male_youth_soft,no reference audio yet,record_new_voice
b2-kaede,楓,male_youth_calm,no reference audio yet,record_new_voice
b2-kaiji,伊藤開司,male_mid_hoarse,no reference audio yet,record_new_voice
b2-keyaru,凱亞爾,male_youth_cold,no reference audio yet,record_new_voice
b2-kisaragi,如月電車,nonverbal_low_mechanical,no reference audio yet,record_new_voice
b2-klaus,克勞斯,male_youth_clear,no reference audio yet,record_new_voice
b2-makoto,深澄真,male_youth_soft,no reference audio yet,record_new_voice
b2-maomao,貓貓,female_mid_deadpan,no reference audio yet,record_new_voice
b2-misery,米瑟利,female_low_mysterious,no reference audio yet,record_new_voice
b2-naofumi,岩谷尚文,male_low_bitter,no reference audio yet,record_new_voice
b2-ned,青蛙劍士 Ned,creature_mid_stoic,no reference audio yet,record_new_voice
b2-noor,諾爾,male_mid_earnest,no reference audio yet,record_new_voice
b2-shadow,闇影,male_low_theatrical,no reference audio yet,record_new_voice
b2-shinchan,野原新之助,child_boy_nasal,no reference audio yet,record_new_voice
b2-yogiri,高遠夜霧,male_low_languid,no reference audio yet,record_new_voice
community-review-06-20260907,卡比,nonverbal_high_cute,no reference audio yet,record_new_voice
community-review-07-20260907,西索,male_mid_eerie,no reference audio yet,record_new_voice
community-review-09-20260907,赫蘿,female_mid_playful,no reference audio yet,record_new_voice
community-review-10-20260907,魯路修,male_mid_theatrical,no reference audio yet,record_new_voice
community-review-11-20260907,利姆路,androgynous_mid_bright,no reference audio yet,record_new_voice
