id,character,default_instruct_ja,attack_instruct_ja,ultimate_instruct_ja,hurt_instruct_ja,death_instruct_ja
godie-e001,龍宮禮奈,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。甘く可憐な表情から、急に低く狂気を帯びるL5らしい落差を明瞭に出す。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。甘く可憐な表情から、急に低く狂気を帯びるL5らしい落差を明瞭に出す。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。甘く可憐な表情から、急に低く狂気を帯びるL5らしい落差を明瞭に出す。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。甘く可憐な表情から、急に低く狂気を帯びるL5らしい落差を明瞭に出す。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。甘く可憐な表情から、急に低く狂気を帯びるL5らしい落差を明瞭に出す。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e002,Saber,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。端正で抑制された王者の威厳を保ち、弱々しくしない。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。端正で抑制された王者の威厳を保ち、弱々しくしない。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。端正で抑制された王者の威厳を保ち、弱々しくしない。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。端正で抑制された王者の威厳を保ち、弱々しくしない。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。端正で抑制された王者の威厳を保ち、弱々しくしない。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e007,天地志狼,少年・少女の中程度の声。音量は大きく変化させる。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。若い古代戦士らしく機敏に爆発させ、重厚な武将声にはしない。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は大きく変化させる。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。若い古代戦士らしく機敏に爆発させ、重厚な武将声にはしない。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は大きく変化させる。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。若い古代戦士らしく機敏に爆発させ、重厚な武将声にはしない。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は大きく変化させる。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。若い古代戦士らしく機敏に爆発させ、重厚な武将声にはしない。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は大きく変化させる。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。若い古代戦士らしく機敏に爆発させ、重厚な武将声にはしない。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e008,夏娜,少年・少女の高めの声。音量は中程度に抑える。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。鋭い短句を畳みかけ、連続する怒りの爆発を鮮明にする。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の高めの声。音量は中程度に抑える。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。鋭い短句を畳みかけ、連続する怒りの爆発を鮮明にする。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の高めの声。音量は中程度に抑える。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。鋭い短句を畳みかけ、連続する怒りの爆発を鮮明にする。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の高めの声。音量は中程度に抑える。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。鋭い短句を畳みかけ、連続する怒りの爆発を鮮明にする。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の高めの声。音量は中程度に抑える。語速は速めで、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。鋭い短句を畳みかけ、連続する怒りの爆発を鮮明にする。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e00k,安云,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。少女らしい柔らかさと清冷な抑制を保ち、戦闘では短く果断に切り替える。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。少女らしい柔らかさと清冷な抑制を保ち、戦闘では短く果断に切り替える。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。少女らしい柔らかさと清冷な抑制を保ち、戦闘では短く果断に切り替える。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。少女らしい柔らかさと清冷な抑制を保ち、戦闘では短く果断に切り替える。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の低めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。少女らしい柔らかさと清冷な抑制を保ち、戦闘では短く果断に切り替える。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e00r,初號機,年齢を感じさせない非人間の中程度の声。音量は大きく変化させる。語速は標準で、呼吸音を表現の中心にする。軽いかすれを残す。冷淡にしすぎない、誇張を大きく使う。台詞読みを避け、獣の咆哮、痛い絶叫、荒い息と機械共鳴で構成する。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,年齢を感じさせない非人間の中程度の声。音量は大きく変化させる。語速は標準で、呼吸音を表現の中心にする。軽いかすれを残す。冷淡にしすぎない、誇張を大きく使う。台詞読みを避け、獣の咆哮、痛い絶叫、荒い息と機械共鳴で構成する。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,年齢を感じさせない非人間の中程度の声。音量は大きく変化させる。語速は標準で、呼吸音を表現の中心にする。軽いかすれを残す。冷淡にしすぎない、誇張を大きく使う。台詞読みを避け、獣の咆哮、痛い絶叫、荒い息と機械共鳴で構成する。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,年齢を感じさせない非人間の中程度の声。音量は大きく変化させる。語速は標準で、呼吸音を表現の中心にする。軽いかすれを残す。冷淡にしすぎない、誇張を大きく使う。台詞読みを避け、獣の咆哮、痛い絶叫、荒い息と機械共鳴で構成する。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,年齢を感じさせない非人間の中程度の声。音量は大きく変化させる。語速は標準で、呼吸音を表現の中心にする。軽いかすれを残す。冷淡にしすぎない、誇張を大きく使う。台詞読みを避け、獣の咆哮、痛い絶叫、荒い息と機械共鳴で構成する。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-e00w,櫻綻剎那,成人の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。普段は礼儀正しく真面目に、戦闘では若い剣士の緊張を一気に上げる。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。普段は礼儀正しく真面目に、戦闘では若い剣士の緊張を一気に上げる。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。普段は礼儀正しく真面目に、戦闘では若い剣士の緊張を一気に上げる。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。普段は礼儀正しく真面目に、戦闘では若い剣士の緊張を一気に上げる。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。普段は礼儀正しく真面目に、戦闘では若い剣士の緊張を一気に上げる。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-edem,宇智波佐助,少年・少女の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。鼻腔に響く短い言葉で、怒りを外へ散らさず内側に押し込める。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。鼻腔に響く短い言葉で、怒りを外へ散らさず内側に押し込める。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。鼻腔に響く短い言葉で、怒りを外へ散らさず内側に押し込める。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。鼻腔に響く短い言葉で、怒りを外へ散らさず内側に押し込める。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,少年・少女の中程度の声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡さを明確に出す、誇張は必要な場面だけにする。鼻腔に響く短い言葉で、怒りを外へ散らさず内側に押し込める。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-emfr,涅吉,子供の高めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。澄んだ少年らしい真面目さと少しの緊張を持ち、詠唱で急に集中を高める。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,子供の高めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。澄んだ少年らしい真面目さと少しの緊張を持ち、詠唱で急に集中を高める。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,子供の高めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。澄んだ少年らしい真面目さと少しの緊張を持ち、詠唱で急に集中を高める。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,子供の高めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。澄んだ少年らしい真面目さと少しの緊張を持ち、詠唱で急に集中を高める。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,子供の高めの声。音量は中程度に抑える。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張は必要な場面だけにする。澄んだ少年らしい真面目さと少しの緊張を持ち、詠唱で急に集中を高める。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
godie-emns,夜神月,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張を大きく使う。冷静な推理から制御不能な高笑いへ、極端な落差を作る。平常時は設定された性格を自然に保つ。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張を大きく使う。冷静な推理から制御不能な高笑いへ、極端な落差を作る。攻撃時は語頭を鋭くし、息を短く押し出して音量と緊張を一段上げる。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張を大きく使う。冷静な推理から制御不能な高笑いへ、極端な落差を作る。必殺技では呼吸を一度溜め、音高・音量・感情の振れ幅を最大にする。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張を大きく使う。冷静な推理から制御不能な高笑いへ、極端な落差を作る。負傷時は息が崩れる瞬間と痛みの反射を入れ、長く演じすぎない。特定の声優・俳優・実在人物本人の声を模倣しない。,成人の中程度の声。音量は大きく変化させる。語速は標準で、息を自然に保つ。不要なかすれは加えない。冷淡にしすぎない、誇張を大きく使う。冷静な推理から制御不能な高笑いへ、極端な落差を作る。死亡時は力が抜けていく呼吸と感情の終止を示し、余韻を残す。特定の声優・俳優・実在人物本人の声を模倣しない。
